company,job_title,job_category,seniority,country,min_experience_clean,min_experience,avg_salary_lpa,min_salary_lpa,max_salary_lpa,num_of_salaries,skill_python,skill_r,skill_sql,skill_excel,skill_tableau,skill_power_bi,skill_machine_learning,skill_statistics,skill_spark,skill_hadoop,skill_aws,skill_azure,skill_tensorflow,skill_pytorch,skill_nlp,skill_computer_vision,skill_big_data,skill_etl,skill_git,skill_docker,skill_data_visualization
Ericsson,Data Scientist,Data Scientist,Mid-Level,India,3,3,14.6,6.0,26.9,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HCL Technologies,Data Scientist,Data Scientist,Mid-Level,India,2,2,9.8,4.5,20.3,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amazon,Data Scientist,Data Scientist,Mid-Level,India,2,2,28.1,9.5,50.0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UnitedHealth,Data Scientist,Data Scientist,Mid-Level,India,2,2,14.8,8.3,21.5,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mu Sigma,Data Scientist,Data Scientist,Mid-Level,India,1,1,7.4,5.0,12.0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ab Inbev,Data Scientist,Data Scientist,Mid-Level,India,2,2,20.6,15.0,26.2,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L&T Infotech,Data Scientist,Data Scientist,Mid-Level,India,2,2,11.6,6.5,20.9,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tiger Analytics,Data Scientist,Data Scientist,Mid-Level,India,2,2,14.8,9.0,20.0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Optum,Data Scientist,Data Scientist,Mid-Level,India,2,2,16.6,11.0,22.5,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ernst & Young,Data Scientist,Data Scientist,Mid-Level,India,2,2,12.4,6.7,20.0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mindtree,Data Scientist,Data Scientist,Mid-Level,India,2,2,10.6,4.8,18.7,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Walmart,Data Scientist,Data Scientist,Mid-Level,India,2,2,28.3,17.8,41.0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXC Technology,Data Scientist,Data Scientist,Mid-Level,India,2,2,10.0,4.4,15.5,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Microsoft Corporation,Data Scientist,Data Scientist,Mid-Level,India,1,1,32.1,13.0,60.0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Genpact,Data Scientist,Data Scientist,Mid-Level,India,2,2,12.2,5.5,20.0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hewlett-Packard Enterprise,Data Scientist,Data Scientist,Mid-Level,India,2,2,16.6,7.1,26.5,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ford Motor,Data Scientist,Data Scientist,Mid-Level,India,2,2,14.4,10.0,20.0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reliance jio,Data Scientist,Data Scientist,Mid-Level,India,1,1,15.6,5.6,30.0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Verizon,Data Scientist,Data Scientist,Mid-Level,India,3,3,14.2,9.9,21.8,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IQVIA,Data Scientist,Data Scientist,Mid-Level,India,2,2,11.4,6.9,22.0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shell,Data Scientist,Data Scientist,Mid-Level,India,3,3,20.9,13.5,27.0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PayPal,Data Scientist,Data Scientist,Mid-Level,India,3,3,27.7,15.0,45.0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JP Morgan Chase,Data Scientist,Data Scientist,Mid-Level,India,2,2,20.5,12.0,31.0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EXL Service,Data Scientist,Data Scientist,Mid-Level,India,1,1,14.0,7.6,21.0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
American Express,Data Scientist,Data Scientist,Mid-Level,India,2,2,17.7,10.8,26.0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vodafone Idea,Data Scientist,Data Scientist,Mid-Level,India,2,2,13.4,6.0,20.0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HDFC Bank,Data Scientist,Data Scientist,Mid-Level,India,0,0,15.3,9.0,22.2,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Great Learning,Data Scientist,Data Scientist,Mid-Level,India,0,0,9.3,7.0,13.8,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reliance Industries,Data Scientist,Data Scientist,Mid-Level,India,1,1,10.4,6.0,21.0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZS,Data Scientist,Data Scientist,Mid-Level,India,1,1,16.9,10.0,25.0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oracle,Data Scientist,Data Scientist,Mid-Level,India,2,2,16.3,6.5,39.0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Novartis Healthcare,Data Scientist,Data Scientist,Mid-Level,India,2,2,21.9,9.0,36.0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TheMathCompany,Data Scientist,Data Scientist,Mid-Level,India,2,2,10.5,6.0,16.0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PwC,Data Scientist,Data Scientist,Mid-Level,India,2,2,12.6,7.5,20.0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAP,Data Scientist,Data Scientist,Mid-Level,India,2,2,17.4,11.0,26.0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Legato Health Technologies,Data Scientist,Data Scientist,Mid-Level,India,1,1,14.3,9.0,21.0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Impact Analytics,Data Scientist,Data Scientist,Mid-Level,India,0,0,9.0,7.0,13.0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Innominds Software,Data Scientist,Data Scientist,Mid-Level,India,1,1,10.7,6.5,15.2,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Flipkart,Data Scientist,Data Scientist,Mid-Level,India,0,0,23.2,14.7,42.0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Innodatatics,Data Scientist,Data Scientist,Mid-Level,India,0,0,4.5,2.0,7.0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KPMG,Data Scientist,Data Scientist,Mid-Level,India,2,2,14.1,9.0,20.0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NTT DATA,Data Scientist,Data Scientist,Mid-Level,India,2,2,7.7,5.0,17.2,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HSBC,Data Scientist,Data Scientist,Mid-Level,India,2,2,14.1,8.5,23.9,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Societe Generale,Data Scientist,Data Scientist,Mid-Level,India,1,1,18.2,7.4,26.0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mphasis,Data Scientist,Data Scientist,Mid-Level,India,2,2,8.9,5.2,15.0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mercedes-Benz Research & Development India,Data Scientist,Data Scientist,Mid-Level,India,2,2,14.1,8.2,21.0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEPEC Solutions,Data Scientist,Data Scientist,Mid-Level,India,1,1,4.9,3.0,7.0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brillio,Data Scientist,Data Scientist,Mid-Level,India,1,1,16.0,9.0,24.0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABC,Data Scientist,Data Scientist,Mid-Level,India,2,2,19.2,6.5,35.0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WNS,Data Scientist,Data Scientist,Mid-Level,India,1,1,11.4,7.2,17.0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hexaware Technologies,Data Scientist,Data Scientist,Mid-Level,India,0,0,9.7,4.5,19.0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
International School of Engineering,Data Scientist,Data Scientist,Mid-Level,India,1,1,10.5,5.4,16.3,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wells Fargo India,Data Scientist,Data Scientist,Mid-Level,India,2,2,15.4,5.5,31.2,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kyndryl,Data Scientist,Data Scientist,Mid-Level,India,3,3,14.1,6.0,30.0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eClerx,Data Scientist,Data Scientist,Mid-Level,India,2,2,9.3,6.0,16.7,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DBS Bank,Data Scientist,Data Scientist,Mid-Level,India,2,2,14.3,9.0,23.7,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyient,Data Scientist,Data Scientist,Mid-Level,India,2,2,10.4,5.0,18.5,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nagarro,Data Scientist,Data Scientist,Mid-Level,India,1,1,12.1,7.0,18.0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Freelancer.com,Data Scientist,Data Scientist,Mid-Level,India,1,1,7.1,3.0,15.0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cisco Systems,Data Scientist,Data Scientist,Mid-Level,India,2,2,19.0,12.0,32.5,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bajaj Finserv,Data Scientist,Data Scientist,Mid-Level,India,1,1,11.9,7.5,19.4,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dell,Data Scientist,Data Scientist,Mid-Level,India,1,1,17.0,8.0,27.0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dunnhumby,Data Scientist,Data Scientist,Mid-Level,India,1,1,12.9,8.5,18.0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Honeywell Technology Solutions,Data Scientist,Data Scientist,Mid-Level,India,2,2,15.1,8.5,23.4,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bristlecone,Data Scientist,Data Scientist,Mid-Level,India,1,1,9.0,6.6,11.5,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sigmoid Analytics,Data Scientist,Data Scientist,Mid-Level,India,0,0,14.9,11.0,20.0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Applied Materials,Data Scientist,Data Scientist,Mid-Level,India,2,2,14.2,7.0,22.0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Citicorp,Data Scientist,Data Scientist,Mid-Level,India,2,2,19.2,14.0,23.5,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Siemens,Data Scientist,Data Scientist,Mid-Level,India,2,2,13.5,7.8,24.0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MasterCard,Data Scientist,Data Scientist,Mid-Level,India,2,2,19.6,12.1,25.3,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bosch Global Software Technologies,Data Scientist,Data Scientist,Mid-Level,India,2,2,11.9,7.0,16.6,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wolters Kluwer,Data Scientist,Data Scientist,Mid-Level,India,0,0,12.5,9.9,17.6,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Birlasoft,Data Scientist,Data Scientist,Mid-Level,India,2,2,8.0,4.0,12.7,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atos,Data Scientist,Data Scientist,Mid-Level,India,2,2,13.0,5.0,28.0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Info Edge,Data Scientist,Data Scientist,Mid-Level,India,0,0,16.9,12.0,24.0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VMware Software,Data Scientist,Data Scientist,Mid-Level,India,4,4,23.6,11.5,32.1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Course5,Data Scientist,Data Scientist,Mid-Level,India,1,1,8.1,4.0,12.7,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bridgei2i Analytics Solutions,Data Scientist,Data Scientist,Mid-Level,India,2,2,9.4,6.0,14.4,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Larsen & Toubro Limited,Data Scientist,Data Scientist,Mid-Level,India,1,1,9.4,4.5,23.0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
iNeuron.ai,Data Scientist,Data Scientist,Mid-Level,India,0,0,5.1,3.0,8.0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tredence,Data Scientist,Data Scientist,Mid-Level,India,2,2,14.4,8.0,19.0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Enquero,Data Scientist,Data Scientist,Mid-Level,India,0,0,11.5,5.0,16.2,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R Systems International,Data Scientist,Data Scientist,Mid-Level,India,2,2,16.2,7.5,24.4,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UST,Data Scientist,Data Scientist,Mid-Level,India,3,3,9.8,6.5,15.0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cgi Group,Data Scientist,Data Scientist,Mid-Level,India,2,2,8.2,4.2,14.0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bank of America,Data Scientist,Data Scientist,Mid-Level,India,2,2,22.8,13.2,30.3,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Axis Bank,Data Scientist,Data Scientist,Mid-Level,India,1,1,11.7,7.9,18.0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ganit Business Solutions,Data Scientist,Data Scientist,Mid-Level,India,3,3,12.6,8.5,16.0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Virtusa Consulting Services,Data Scientist,Data Scientist,Mid-Level,India,1,1,9.7,4.8,15.6,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ITC Infotech India,Data Scientist,Data Scientist,Mid-Level,India,2,2,10.9,4.1,20.5,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gramener,Data Scientist,Data Scientist,Mid-Level,India,1,1,9.8,7.5,14.0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subex,Data Scientist,Data Scientist,Mid-Level,India,1,1,10.8,8.2,13.7,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Xoriant,Data Scientist,Data Scientist,Mid-Level,India,2,2,10.4,5.3,17.6,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Caterpillar Inc,Data Scientist,Data Scientist,Mid-Level,India,2,2,12.8,7.7,18.0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ICICI Bank,Data Scientist,Data Scientist,Mid-Level,India,0,0,11.9,5.0,20.0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Freelance Consultants,Data Scientist,Data Scientist,Mid-Level,India,1,1,10.2,3.2,24.0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sutherland Global Services,Data Scientist,Data Scientist,Mid-Level,India,1,1,8.5,5.1,12.3,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prodapt Solutions,Data Scientist,Data Scientist,Mid-Level,India,1,1,6.9,3.3,16.0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rubixe,Data Scientist,Data Scientist,Mid-Level,India,0,0,4.7,2.4,9.0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NDS InfoServ,Data Scientist,Data Scientist,Mid-Level,India,0,0,9.1,5.0,12.0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zensar Technologies,Data Scientist,Data Scientist,Mid-Level,India,1,1,8.2,4.2,15.5,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fidelity National Information Services,Data Scientist,Data Scientist,Mid-Level,India,3,3,10.9,7.3,18.6,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KPIT Technologies,Data Scientist,Data Scientist,Mid-Level,India,1,1,7.7,4.5,15.0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Citibank,Data Scientist,Data Scientist,Mid-Level,India,2,2,17.3,10.0,24.2,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ValueLabs,Data Scientist,Data Scientist,Mid-Level,India,2,2,14.6,7.0,22.5,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABB Group,Data Scientist,Data Scientist,Mid-Level,India,2,2,13.0,8.3,19.0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L&T Financial Services,Data Scientist,Data Scientist,Mid-Level,India,1,1,9.3,8.2,12.5,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Value c Consulting India,Data Scientist,Data Scientist,Mid-Level,India,2,2,5.2,4.2,6.0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lumiq.ai,Data Scientist,Data Scientist,Mid-Level,India,0,0,8.3,6.0,13.0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Flip Robo Technologies,Data Scientist,Data Scientist,Mid-Level,India,1,1,4.7,3.0,7.9,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Philips,Data Scientist,Data Scientist,Mid-Level,India,3,3,17.9,11.2,30.0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nokia,Data Scientist,Data Scientist,Mid-Level,India,2,2,13.0,6.2,24.0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Confidential,Data Scientist,Data Scientist,Mid-Level,India,1,1,8.5,4.1,18.5,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tata Technologies,Data Scientist,Data Scientist,Mid-Level,India,0,0,6.6,4.8,9.2,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nielsen,Data Scientist,Data Scientist,Mid-Level,India,1,1,7.0,6.0,10.0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kantar,Data Scientist,Data Scientist,Mid-Level,India,3,3,11.5,6.4,18.0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Persistent Systems,Data Scientist,Data Scientist,Mid-Level,India,2,2,10.5,5.8,17.0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Exl India,Data Scientist,Data Scientist,Mid-Level,India,1,1,14.0,10.0,18.0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blue Yonder,Data Scientist,Data Scientist,Mid-Level,India,3,3,20.6,15.1,26.0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brane Enterprises,Data Scientist,Data Scientist,Mid-Level,India,1,1,14.0,8.0,22.5,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Micron Technology,Data Scientist,Data Scientist,Mid-Level,India,0,0,16.4,11.4,25.0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Indegene,Data Scientist,Data Scientist,Mid-Level,India,0,0,9.6,8.0,14.5,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CARS24.com,Data Scientist,Data Scientist,Mid-Level,India,1,1,20.3,14.5,24.0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GlobalLogic,Data Scientist,Data Scientist,Mid-Level,India,2,2,14.6,4.0,26.0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maersk,Data Scientist,Data Scientist,Mid-Level,India,4,4,20.9,14.0,31.0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barclays,Data Scientist,Data Scientist,Mid-Level,India,2,2,18.2,13.6,25.0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Indium Software,Data Scientist,Data Scientist,Mid-Level,India,1,1,7.9,5.0,12.0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Celebal Technologies,Data Scientist,Data Scientist,Mid-Level,India,0,0,8.6,5.7,13.0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Affine Analytics,Data Scientist,Data Scientist,Mid-Level,India,1,1,9.7,6.3,18.0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fidelity Investment,Data Scientist,Data Scientist,Mid-Level,India,3,3,23.4,13.8,36.0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jio Platforms,Data Scientist,Data Scientist,Mid-Level,India,2,2,13.9,7.0,23.0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Happiest Minds Technologies,Data Scientist,Data Scientist,Mid-Level,India,1,1,8.7,5.2,14.0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adobe,Data Scientist,Data Scientist,Mid-Level,India,3,3,29.4,20.0,44.0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CitiusTech,Data Scientist,Data Scientist,Mid-Level,India,2,2,10.4,5.8,17.5,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scienaptic Systems,Data Scientist,Data Scientist,Mid-Level,India,0,0,14.6,8.0,19.0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boeing,Data Scientist,Data Scientist,Mid-Level,India,1,1,19.4,13.5,35.0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Citigroup,Data Scientist,Data Scientist,Mid-Level,India,1,1,18.4,13.5,27.5,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marlabs,Data Scientist,Data Scientist,Mid-Level,India,0,0,9.3,5.5,20.6,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TransOrg Analytics,Data Scientist,Data Scientist,Mid-Level,India,1,1,9.4,7.0,13.5,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T-Systems,Data Scientist,Data Scientist,Mid-Level,India,3,3,14.1,7.8,24.0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
